Timestamp,Gender?,Age?,Name of the company you are currently working on (if you want to disclose),For how many years have you coded professionally?,What is your current role?,Which of the following software development methodologies do you follow?,Which of the followings do you use for requirements gathering?,"On which software development activities, do you spend most of the time? ",Which of the following technologies do you have experience working in?,What is the primary operating system you are developing on?,Which programming languages are you using?,Which frameworks are you using?,Which IDE are you using?,What types of software testing practices do you use?,What is the level of automated testing in your projects?,Which tools do you use for testing and quality assurance?,Which tools do you use for continous deployment?,Which version control tool do you use?,What are your expectations from the manager?,Are you involved in any R&D projects?,How do you ensure scalability of your products?,How do you maintain performance of your products?,How do you ensure security of your products?,What are your expectations from the employees?,What are your expectations from the potential candidates?,What are your expectations from the universities?,What are your expectations from the Government?,What kind of training facilities do you provide for the employees ?
2019/01/07 1:03:32 PM GMT+6,Male,24,Kona Software Lab Limited,less than 2,Research & Development Engineer,Agile;Scrum,Story board,Program Design;Implementation,Web;Mobile,Windows,Java,Spring boot,IntelliJ,Unit testing,4,"XUnit ( eg, JUnit, NUnit )",,Git,,Yes,Utilizing Reactive strategy we ensure scalability,By rigorous testing & checking performance testing,Local LAN & VCS server,,,,,
2019/01/07 2:00:10 PM GMT+6,Male,39,REVE Systems Ltd,2 to 5,Sr Trainer,Agile;Waterfall;Pair Programming;Scrum,Plain Text;Use Case;GUI prototype;Story board,Project Planning;Requirement Analysis;Program Design;Implementation,Web;Mobile;Desktop,ios/android,Java;C/C++;Python;JavaScript,Django,PyCharm,Unit testing;GUI testing;Functional testing;Performance testing,4,JenKins,,Git,no micro management.,Yes.,,,,,,,,
2019/01/07 2:02:23 PM GMT+6,Male,29,,2 to 5,Developer,Waterfall,Plain Text,Requirement Analysis;Implementation,Web,Ubuntu,nodejs,express,Visual Studio Code,User acceptance testing;GUI testing;Functional testing,5,,,Git,,,,,,,,,,
2019/01/07 2:45:21 PM GMT+6,Male,23,NewsCred Inc.,less than 2,Developer,Agile,Grooming seasons,Testing,Web,MacOS,Python;JavaScript,"React, Flask",Visual Studio,Unit testing,1,"Enzyme, Mocha, Pytest",Jenkins,Git,proper workload and appreciation.,No,,,,,,,,
2019/01/07 2:53:26 PM GMT+6,Male,25,Reve Systems,less than 2,Developer,Agile,Plain Text,Implementation,Web,Windows,Java;JavaScript,Struts,Eclipse,User acceptance testing,1,,,SVN,Be flexible about technical tools and softwares,yes,,,,,,,Be specific about your requirements first,none
2019/01/07 3:26:26 PM GMT+6,Male,26,,2 to 5,Developer,Waterfall;Scrum,Plain Text;Grooming seasons,Requirement Analysis;Program Design,Web,Ubuntu,Java;Python,Django,PyCharm,User acceptance testing,4,JenKins,,Git,,,,,,,,,,
2019/01/07 3:33:43 PM GMT+6,Male,27,,less than 2,Developer,Scrum,Use Case,Program Design,Web;Mobile,Ubuntu,Java;C/C++;JavaScript,Spring boot,Eclipse,Unit testing;Functional testing,4,"XUnit ( eg, JUnit, NUnit )",,Git;BitBucket,1st one was very helpful and helped directly to meet deadline. 2nd one was helpful but didn't help directly. 3rd one was not so helpful.,yes,By following some design patterns,By Testing,by not disclosing code base,,,,,
2019/01/07 3:49:32 PM GMT+6,Male,25,,less than 2,Developer,Agile,Plain Text;Use Case,Program Design;Implementation,Web;Desktop,Windows,Java;JavaScript,Struts,Eclipse,Functional testing,5,,,SVN,Proper understanding of complexity of assigned tasks and no irrational demand,Yes,During design phase and providing sufficient machines,By careful designing,By careful desigining,,,,,
2019/01/07 4:43:17 PM GMT+6,Female,25,,less than 2,Developer,Agile;Scrum,Plain Text;Use Case,Requirement Analysis;Implementation;Documentation,Web;Desktop,Windows,Java;C#,Spring boot,"STS, Visual Studio",Unit testing;Functional testing,4,"XUnit ( eg, JUnit, NUnit )",,Git;BitBucket,,,,,,,,,,
2019/01/07 4:46:40 PM GMT+6,Male,29,ReliSource Technologies Ltd.,2 to 5,Developer,Agile,,Implementation,Web;Mobile,Windows,C/C++;C#,ASP. NET,Visual Studio,Unit testing,3,"XUnit ( eg, JUnit, NUnit )",TeamCity,Git;BitBucket,Less shuffling between teams,No,"We work in a client project. User of this system is not very large. So, there is not much priority on scalability ",,,,,,,
2019/01/07 8:21:46 PM GMT+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/07 8:59:52 PM GMT+6,Male,25,,less than 2,Developer,Agile,Plain Text,Project Planning,Web,Ubuntu,Python;JavaScript,Django,PyCharm,Unit testing,4,Selenium,Manual,Git,Well Behaved and Proper Project Timeline,No,Using AWS Elastic Load Balancer,Using different Optimization tools,Using OAuth2 protocol.,,,,,
2019/01/07 10:19:44 PM GMT+6,Male,28,Moodsinger,less than 2,Developer,Agile;Pair Programming,Grooming seasons,Project Planning;Program Design,Mobile;Embedded /IOT,Linux,Python,,Visual Studio,Unit testing;Functional testing,4,Selenium,,Git,"Strong Intuition, flexibility",Yes,I don't need it for my project,Good Caching,I don't have to worry about it,,,,,
2019/01/07 11:07:28 PM GMT+6,Male,24,kona software lab limited,less than 2,Developer,Scrum,Grooming seasons,Project Planning;Requirement Analysis;Program Design;Implementation,,Ubuntu,C/C++;JavaScript;golang,,,,,,AWS codeDeploy,Git,,,,,,,,,,
2019/01/08 12:18:36 AM GMT+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/08 2:36:04 PM GMT+6,Female,29,,5 to 10,Software Engineer,Scrum,Plain Text;Grooming seasons;Story board,Project Planning;Requirement Analysis;Maintenance,Web;Mobile,Ubuntu,Java;JavaScript,Spring boot,Eclipse,Unit testing;User acceptance testing;Functional testing;Performance testing,1,"XUnit ( eg, JUnit, NUnit )",tomcat,Git,,Yes,"load testng, user experience ","Fixing bug, customer feedback, change or modify existing framework","network security control, identity and access managemen,  password encryption, using latest technology ",,,,,
2019/01/08 4:24:30 PM GMT+6,Male,29,Escenic Asia Ltd.,5 to 10,Developer,Agile;Pair Programming,Use Case;GUI prototype;Story board,Requirement Analysis;Program Design;Implementation,Web;Mobile;Desktop,Windows,Java;Python;JavaScript,,IntelliJ,Unit testing;Functional testing;Performance testing,2,Selenium,,Git,,Yes,,,,,,,,
2019/01/08 9:09:23 PM GMT+6,Male,28,,2 to 5,Developer,Scrum,Plain Text;GUI prototype,Implementation;Testing;Maintenance,Mobile;Embedded /IOT,Linux,"Java;C/C++;Objective C, Kotlin","cpprest, webrtc, swagger",IntelliJ,GUI testing;Functional testing;Performance testing,1,Selenium,Jenkins,Git;BitBucket,Be more open to suggestions.,yeah,,,,,,Encourage Open Source Development. Those can be a part of grade.,,
2019/01/08 11:07:03 PM GMT+6,Male,32,Population Service International (PSI),5 to 10,MIS Manager,Agile;Pair Programming;Scrum,Plain Text;Use Case;GUI prototype;Grooming seasons,Project Planning;Requirement Analysis;Program Design;Implementation;Documentation,Web;Mobile;Desktop,Ubuntu,Java;Python;PHP,Spring boot,Eclipse,Unit testing;User acceptance testing;Functional testing,2,"XUnit ( eg, JUnit, NUnit )",Bamboo,Git,clear development requirements,health information system development,through load testing and load simulation.,"take help of different performance monitoring tools and dashboard, analyzed data , measure time and memory efficiency of process ","use encryption at different level of software (server, network, transmission layer, database and software layer.)","honesty, integrity, self initiative and clear communication",Want to see he/she is trying to solve the issue  sincerely and giving their best effort on the issue at hand.,"Develop mind set of student so that they love challenges, enjoy taking initiatives , never fear a problem and always ready to learn. It should teach students basic behavioral skills like honesty, integrity, accept failure and criticism positively , respect and appreciate  activities of team members.","safety, security and level playing field.","it actually depends, careful assessment need  be done before a training plan (capability of current audience, identification of their improvement area)"
2019/01/09 7:52:44 AM GMT+6,Male,33,I’m an ex-employee of Reve System,5 to 10,Developer,None. Sometimes waterfall,Plain Text,Project Planning;Implementation,Mobile,MacOS,C/C++;Objective-C,Cocoa framework,XCode,None,5,None,None,Git,,,,,,,,,,
2019/01/09 8:09:52 AM GMT+6,Male,25,,less than 2,Developer,Agile;Scrum,Grooming seasons;Story board,Requirement Analysis;Implementation;Testing;Maintenance,Web,MacOS,JavaScript,ReactJS,Atom,Unit testing,3,JenKins,Jenkins,Git,,,,,,,,,,
2019/01/09 8:57:24 AM GMT+6,Male,30,,5 to 10,Developer,Agile,GUI prototype,Implementation,Mobile,Windows,Java,Android,Android Studio,GUI testing,5,,,Git;BitBucket,Give reasonable time for a task and do proper comment on that task.,Yes,Doing proper code.,Writing proper code,,,,,,
2019/01/09 9:45:27 AM GMT+6,Male,25,iTech softsolutions,less than 2,Developer,Agile;Scrum,Plain Text;Grooming seasons;Story board,Requirement Analysis,Web,Ubuntu,PHP,Laravel,IntelliJ,Functional testing,5,jmeter,forge,Git;gitlab,not assigning me any type of multitasking,yes,,,,,,,,
2019/01/09 11:53:34 AM GMT+6,Male,28,,2 to 5,Developer,Rapid Application Development (RAD) Methodology,Plain Text;Use Case;GUI prototype,Requirement Analysis;Implementation;Maintenance,Web,Linux,Java;JavaScript,Spring mvc,IntelliJ,GUI testing;Functional testing,4,Selenium,Bamboo,BitBucket,"To talk more and be friendly, can",no,During implementation we always keep in mind about the scaling factor,Implementation time carefulness and maintaining a well developed coding standard,Applying access checking methods,,,,,
2019/01/09 11:58:46 AM GMT+6,Male,26,REVE Systems /ltd.,less than 2,Developer,Scrum,Story board,Implementation,Web,Windows,Java;JavaScript,Spring boot,IntelliJ,Unit testing,5,"XUnit ( eg, JUnit, NUnit )",none,Git;BitBucket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019/01/10 12:10:25 AM GMT+6,Male,36,Cefalo Bangladesh Ltd.,more than 10,"High level management ( CEO, CIO, CFO )",Agile;Scrum,Use Case;GUI prototype;Grooming seasons;Story board,Program Design;Implementation;Testing,Web;Mobile;Desktop,Windows;MacOS;Linux;Ubuntu,"Java;Python;JavaScript;C#;PHP;Swift, Kotlin, Ruby, Scala",Spring boot;ASP. NET;Swift;Django;Laravel;Rails,"Visual Studio;IntelliJ;PyCharm;PHPStorm, WebStorm, Xcode, Android Studio, RubyMine ","Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;API testing, Automated testing, Security testing",3,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium;JMeter, PostMan, Appium, Cucumber, Protractor ","Bamboo;TeamCity;AWS codeDeploy;Octopus;Jenkins, ",Git,"Ownership, Proactiveness, Leadership attitude, Good inter-personal and communication skills",Yes,"Micro-service architecture, loosely coupled system, avoiding single point of failure, propee caching, DB indexing, Logging errors & warnings, Asynchronous programming, Cloud services (AWS / Azure)","Optimizing number of HTTP requests, Asynchronous programming, Caching, CDN, Load Balancing, nginx, varnish, compression of data, 
Continuous monitoring, Load testing, stress testing","Security testings like: SQL injection, cross-site scripting, CSRF, API security, use of https,  detecting malicious / suspicious HTTP requests and auto-blocking","Positive attitude, problem solving capacities, team-man, absolutely no ego or arrogance, can get things done, ambitious, sincerity, discipline ","Knowing what he/she knows and what not, honesty, good problem solving capacities, team-man, absolutely no ego or arrogance, can get things done, ambitious, sincerity, discipline ","produce good software engineers with positive attitude, strong work ethics and without ego/arrogance ","More investment on IT infrastructure, Automation, Scholarships, Cheaper internet, No planned or intentional internet services blocking","In-house training, workshops, paid internship, fully sponsored external training, workshop and certification "
2019/01/10 11:00:35 AM GMT+6,Male,31,Tomorrow System,5 to 10,Developer,Scrum,Plain Text,Project Planning;Requirement Analysis;Program Design,Web,Windows,JavaScript;PHP,Laravel,IntelliJ,User acceptance testing;Functional testing,5,,,Git;BitBucket,,Yes,,,,,,,,
2019/01/10 11:15:29 AM GMT+6,Male,28,,2 to 5,Developer;Tester,Pair Programming;Scrum,Grooming seasons;Story board,Project Planning;Requirement Analysis;Program Design;Maintenance,Web;Mobile,Windows;MacOS,Java;JavaScript;PHP,,IntelliJ,Unit testing;Functional testing,1,"XUnit ( eg, JUnit, NUnit )",,,,,,,,,,,,
2019/01/10 11:17:01 AM GMT+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/10 11:20:38 AM GMT+6,Male,36,Planswell,more than 10,Developer,Pair Programming,Story board,Project Planning;Requirement Analysis;Implementation;Testing,Web;Mobile;Desktop;Embedded /IOT,MacOS;Linux;Ubuntu,Java;Python;JavaScript;Elixir,"Django;Phoenix, React, Relay",Visual Studio;IntelliJ;PyCharm,Unit testing;Functional testing,2,,,Git,Mentorship and Direction,Yes,Best Practices,Appropriate Algorithms and Design Patterns,,,,,,
2019/01/10 1:49:45 PM GMT+6,Female,30,,2 to 5,QA Lead,Agile,Plain Text;Use Case;Grooming seasons,Testing,Web;Mobile;Desktop,Windows;Linux,Java;JavaScript,Spring boot,IntelliJ;NetBeans,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing,3,Selenium,Bamboo,Git;BitBucket,,,,,,,,,,
2019/01/10 1:59:07 PM GMT+6,Male,34,Cefalo Bangladesh Ltd.,5 to 10,Developer;UXD,Agile;Scrum,Use Case;GUI prototype,Program Design;Implementation;Maintenance,Web,Windows;Ubuntu,JavaScript,,Visual Studio;VSCode,,4,,AWS codeDeploy,Git;BitBucket,"Allow to use latest technologies and good practice to ensure company and their employee are updated with the current world. And also honor according to knowledge and quality works. In the company should have knowledge sharing, training sessions.",not yet,In serverside we use Varnish Redis Catch Server to deliver file/data to client faster. Some time we have to use Database multiple instance with AWS,"As a front-end developer I use some tools like pug, sass, babel transpiler for less code and more output of HTML, CSS and JS works. These are allow me to easily maintain and scale codes.",We use github/bitbucket repository systems to code maintain and store. We use server side security on AWS and other third party server host.,,,,,
2019/01/10 2:20:54 PM GMT+6,Male,26,Reve Syso,2 to 5,Developer,Agile;Scrum,Plain Text;GUI prototype,Implementation;Maintenance,Web;Desktop,Windows;Linux,Java;JavaScript,struts,IntelliJ;Eclipse,GUI testing;Functional testing;Performance testing,5,,,svn,"Take educated decisions, not on a whim",Yes,,,,Code in a way that is a delight to read,Have their basics right.,Encouraging students to do more research and become comfortable with new technologies.,Keep education system healthy.,none
2019/01/10 3:37:18 PM GMT+6,Male,30,,5 to 10,Developer,Agile;Scrum,Grooming seasons;Story board,Project Planning;Program Design;Implementation,Web;Mobile,Windows;MacOS,JavaScript;PHP,,Visual Studio;NetBeans,User acceptance testing,3,JenKins;Selenium,AWS codeDeploy,Git;BitBucket,,,,,,,,More project base work,5G,
2019/01/10 5:23:57 PM GMT+6,Male,25,None,less than 2,Developer,Pair Programming,Plain Text;Grooming seasons,Project Planning;Program Design,Web;Mobile,MacOS,JavaScript;PHP,Laravel,PhpStorm,User acceptance testing;Functional testing,5,,,Git,Manager should be cooperative and have accurate knowledge about the time of development.,Currently not involved.,I try to follow MVC design pattern and implement reusable codes.,"Actually if the loading time is not much high, I don't check performance issue. But if it does, I analyze my sites with chrome debugger and online tools and try to fix the issues if clients are willing to pay for that. ","Usually I implement both client and server side data validation, escape html entities, disable indexing. ",Employees should be cooperative and share knowledge with each other and work together like family member.,They should have stamina and confidence to solve any problem and shouldn't be egoistic.,Universities should focus more on industrial level curriculum and arrange internship/hands on experience gathering activities.,They should be focused on practical application. They are still dreaming about IT sector. :(,"I give them related resources and if possible, try to explain and correct their problems. "
2019/01/10 10:12:12 PM GMT+6,Female,27,,5 to 10,QA Lead,Agile,Story board,Requirement Analysis;Testing;Documentation,Web;Mobile;Desktop,Windows;MacOS,JavaScript;C#,ASP. NET,Visual Studio,User acceptance testing;GUI testing;Functional testing;Performance testing,3,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium",Bamboo,TFS," Well understanding, Technical, organized",Yes,Sincerety and consistent,"Optimization, stability, ",Testing,"Efficiency, deciplined, self organized","Extra ordinary work, new Idea, leadership",Coding and industrial training,"Free training, investment, loan, Security of Foreign clients, Tax free, money transfar support","Knowled sharing, industrial knowledge, techniqal"
2019/01/11 12:09:15 PM GMT+6,Male,36,Pathao Ltd,more than 10,"Lead Data Engineer, (Teach Lead of Data Eng. Team)",Scrum,Plain Text;Use Case;Story board,Implementation;Operation;Maintenance,"Back End, Data Engineering",MacOS,"Java;Python;Go, Bash Script",,IntelliJ;PyCharm;Eclipse,Unit testing;Performance testing,2,"XUnit ( eg, JUnit, NUnit )",,Git,"More Scope for Team Build, R&D, Learning",Yes,,Load Testing,"Common Security Practices isn't broken, SSL, Authentication","Doing assigned jobs first, Collaborate with team","Eager to learn, Know well what you know ","Basics to be strong like language basics, algo, math etc,  then some project or courses about current trending technology ie. AI ",Spend more on research so that every student encouraged publish or showcase what he did internationally,Internal knowledge sharing sessions
2019/01/11 2:00:58 PM GMT+6,Male,24,CodeCrafters International Ltd.,less than 2,Developer,Agile,,Implementation;Testing,Desktop,Windows,C/C++,,Visual Studio,Unit testing;GUI testing;Performance testing,3,,,SVN,,,,,,,,,,
2019/01/11 2:01:58 PM GMT+6,Male,25,welldev bangladesh,less than 2,Developer,Agile,GUI prototype,Implementation,Web,MacOS,ruby,Rails,rubymines,Unit testing,3,"XUnit ( eg, JUnit, NUnit )",,Git,,no,,,,,,,,
2019/01/11 2:12:45 PM GMT+6,Male,20,,,,Pair Programming,,,Desktop,Windows,C/C++,,,,,,,,,,,,,,,,,
2019/01/11 2:17:06 PM GMT+6,Male,29,ZS Solutions Ltd ( Appdragon ),2 to 5,Developer,Scrum,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Project Planning;Requirement Analysis;Implementation;Testing,Web;Mobile,MacOS;Ubuntu,Python;nodejs,Django,PyCharm,Unit testing;User acceptance testing;Functional testing,3,Selenium,Jenkins with Ansible and deploys docker images,Git,Ensuring an environment where positive criticisms regarding code and people can be done.,Yes,We analyse the capacity of our apis' and find out possible bottlenecks in architecture after consulting with senior team members. We also need to read shortcomings of each technology and decide based on that.,We review the codes and perform load testing based on the importance of the feature.,We run security audit of our office environment. We also conduct security session per 6 months to introduce latest trend in threats and what we can do to avoid it.,,,They should introduce students to version controlling. Code quality can be also an important thing.,,We have pluralsight account and we perform bimonthly technical session.
2019/01/11 2:30:19 PM GMT+6,Female,24,Dmoney Bangladesh Limited,less than 2,Developer,Agile;Scrum,Plain Text,Implementation,Web,Windows,Java;JavaScript;C#,Spring boot;ASP. NET,Visual Studio;IntelliJ,Unit testing;GUI testing,4,Selenium,,Git,,,,,,,,,,
2019/01/11 2:35:36 PM GMT+6,Male,26,Progoti Systems Limited,2 to 5,Developer,Scrum,Plain Text;Story board,Project Planning;Requirement Analysis;Implementation;Operation;Maintenance,Web,Ubuntu,Java;Python;JavaScript,Spring boot;Grails,IntelliJ;PyCharm,,5,,,Git,"Ensure written requirement with picture and diagram if necessary, fullest support ","Not actually, but do limited RnD on necessity",,,,"Concentration, sincerity and quality work","Knowledge about my company,  positive attitude for learning, mentality to gain minimum competency.","Connection with industry, realistic teaching, internship arrangement for students","Support for software companies, software park establishment all around the country, arrangement with other country to give CS students of BD to get job outside country.",
2019/01/11 2:37:11 PM GMT+6,Male,24,,2 to 5,Developer,Agile,GUI prototype,Implementation,Mobile;Desktop,Windows;Ubuntu,Java;C/C++;Python,Django,IntelliJ;PyCharm,Unit testing,1,,,Git;BitBucket,Knowing his things,No,Cloud implementation,efficiency in all levels,general practices,,,,,
2019/01/11 2:46:09 PM GMT+6,Male,27,,less than 2,,Agile;Scrum,Use Case;Grooming seasons,Requirement Analysis;Implementation;Testing;Maintenance,Web,MacOS,Java;JavaScript,Spring boot;AngularJS,IntelliJ;Sublime Text,User acceptance testing;Functional testing;Performance testing,2,JenKins,,BitBucket,providing flexibility,No,aws,,"oauth2, two step verifiations",,,,,
2019/01/11 2:48:55 PM GMT+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/11 2:55:20 PM GMT+6,Male,25,,less than 2,Developer,Agile;Scrum,Plain Text;GUI prototype,Implementation;Required Knowledge gain before implementation,Web;Embedded /IOT,Java Card OS,Java;C/C++,,Eclipse,Unit testing;User acceptance testing,4,Script based testing,,Git;Bitbucket,Good planning,Yes,,Runtime and flash size,,,,,,
